ID;Applies To;Country;Date Start;Date end intended;Description of measure implemented;Exceptions;Implementing City/Municipality;Implementing State/Province;Keywords;Quantity;Source;Target city;Target country;Target region;Target state
608;;United States;11/03/2020;;Public health emergency;;;Arizona;public announcement, state of emergency;;https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic#Arizona;;;;
;;United States;11/03/2020;18/03/2020;City University of New York and State University of New York schools would be closed for the following week;;;New York;remote schooling, university closure;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_New_York_(state)#Government_response;;;;
436;;Romania;11/03/2020;31/03/2020;The authorities have imposed a ban on sports, scientific, religious, cultural or entertainment events with over 100 participants in closed spaces until 31 March.;;;;indoor gatherings banned;100;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Romania;;;;
613;;United States;11/03/2020;;Avoid gatherings more than 10 people;;;Oregon;outdoor gatherings banned;10;;;;;
;;Cyprus;11/03/2020;;I appeal to all of our compatriots living either abroad or in Cyprus, to avoid unnecessary travel.;;;;outbound travel warning;;https://in-cyprus.philenews.com/coronavirus-president-announces-new-measures-full-text-of-tv-address/;;;;
;;Cyprus;11/03/2020;;On 11 March, Cyprus confirmed four more cases of COVID-19: two Greek Cypriots who returned from the UK the day before and one taxi driver from Paphos, whose grandson was also hospitalised.[2] All three men were taken to Famagusta General Hospital. The fourth case was in self-isolation at home.;;;;case reporting;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Cyprus;;;;
;;Hungary;11/03/2020;;All indoor events larger than 100 and outdoor events above 500 will be prohibited. Gatherings of large groups will be banned to stop the spread of coronavirus.;;;;indoor gatherings banned;100;http://abouthungary.hu/news-in-brief/coronavirus-heres-the-latest/;;;;
830;;Croatia;11/03/2020;;On 11 March, Rijeka Film Festival and the Role of Cultural Heritage in Socioeconomic Development and the Preservation of Democratic Values conference were both postponed until further notice.;;;;very large event cancellation or postponement;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Croatia;;;;
;;Spain;11/03/2020;25/03/2020;The regional government of La Rioja announced the suspension of classes for a period of two weeks;;;La Rioja;school closure, university closure;;https://twitter.com/lariojaorg/status/1237331569938964480?s=21;;;;
865;;Denmark;11/03/2020;;From 11 March, all flights from high risk regions were cancelled;;;;international travel ban - risk countries;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Denmark;;;;
857;;Denmark;11/03/2020;;"Initially, the authorities strongly recommend that all events with more than one thousand people either are cancelled or postponed, but on 11 March the limit was lowered to one hundred people;";;;;outdoor gatherings banned;100;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Denmark;;;;
;;Hungary;11/03/2020;;Universities will be temporarily closed. Education may be continued via e-learning.;;;;university closure;;http://abouthungary.hu/news-in-brief/coronavirus-heres-the-latest/;;;;
;;Hungary;11/03/2020;;All indoor events larger than 100 and outdoor events above 500 will be prohibited. Gatherings of large groups will be banned to stop the spread of coronavirus.;;;;outdoor gatherings banned;500;http://abouthungary.hu/news-in-brief/coronavirus-heres-the-latest/;;;;
189;;Spain;11/03/2020;;the 2020 Copa del Rey Final – the national football cup final due to be held in Seville on 18 April between two teams from the Basque Country – was postponed;;Sevilla;;sports cancellation, very large event cancellation or postponement;;https://www.athletic-club.eus/en/news/2020/03/11/aplazada-la-final-de-la-copa-del-rey;;;;
;;Greece;11/03/2020;;On 11 March, the Prime Minister of Greece Kyriakos Mitsotakis, in a nationally televised address, told the public to follow the instructions of doctors and experts, and the Church of Greece to cooperate in enforcing the public health regulations.;;;;public announcement, public hygiene;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Greece;;;;
;;South Korea;11/03/2020;;Mask Supply App service commenced- informs and alerts local pharmacies mask supply situations to citizens  ;;;;public mask and hygiene supply;;http://news.kbs.co.kr/news/view.do?ncd=4398881&ref=A;;;;
844;;Croatia;11/03/2020;;The same day HNS announced that Croatia national football team would not play its friendly games against Switzerland and Portugal scheduled for 26 and 30 March in Doha due to the virus pandemic in Qatar.;;;;sports cancellation;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Croatia;;;;
859;;Denmark;11/03/2020;;"On 10–11 March, Aalborg University Hospital, Regionshospital North Jutland Hjørring and Zealand University Hospital Roskilde introduced ""drive-through"" test facilities. On 11 March, the Danish Health Authority announced a change of strategy, which means that only people hospitalized with severe signs of respiratory illness or shortness of breath, will be examined for COVID-19 infection. As a consequence, COVID-19 is being under-reported and health officials expect the actual number to be significantly higher than the number reported.";;;;new testing method commenced;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Denmark;;;;
855;;Denmark;11/03/2020;;On 11 March 2020, the first hospitals began postponing non-essential operations as a preparation for future cases of COVID-19,;;;;medical aid;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Denmark;;;;
;;South Korea;11/03/2020;;Seoul city- Human Resource Development Centre and Gyeong-gi English Village, 12 municipal hospitals and national sports team centre will be using as medical facilities for mild symptomatic patients ;;Seoul;Gyeonggi-Province, Seoul;quarantine zone;;https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=056&aid=0010802057;;;;
;;South Korea;11/03/2020;;Seoul City- continuously installing and expanding negative rooms within hospitals in Seoul Metropolitan city ;;;;hospital specialisation;;https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=056&aid=0010802057;;;;
848;;Croatia;11/03/2020;;On 11 March, after a ferry from Ancona sailed into the Port of Split, the Ancona-Split ferry line was cancelled.;;;;domestic travel limitation;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Croatia;;;;
839;;Croatia;11/03/2020;;On 11 March, the annual music award ceremony Porin, set to be held on 27 March in Centar Zamet in Rijeka, was postponed until further notice.;;;;very large event cancellation or postponement;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Croatia;;;;
812;;Mexico;11/03/2020;;First quarantines - a man returned Europe and 8 other people he was in contact with quarantined;;;;confirmed case isolation, contact isolation - no symptoms;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Mexico;;;;
777;;Albania;11/03/2020;;On the night of the 11th, police vehicles played messages on loudspeakers telling citizens to return inside.;;;;public announcement;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Albania;;;;
778;;Albania;11/03/2020;;The Muslim community announced on the 11th that all sermons, prayers and other activities in jumas and mosques were canceled, and told all believers to quarantine themselves and observe prayers at home in private, and rigorously follow and observe the recommendations of the World Health Organization;;;;religious activity cancellation;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Albania;;;;
754;;Italy;11/03/2020;;In the evening, Conte announced a tightening of the lockdown, with all commercial and retail businesses except those providing essential services, like grocery stores and pharmacies, closed down. He also appointed Domenico Arcuri as Delegated Commissioner for the Emergency. Arcuri will cooperate with Commissioner Angelo Borrelli with the aim of strengthening the distribution of intensive care equipment.;;;;general nonessential business suspension;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Italy;;;;
753;;Italy;11/03/2020;;On 11 March, the government allocated 25 billion euros for the emergency ;;;;economic incentives, financial incentive;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Italy;;;;
652;;United States;11/03/2020;;ban of mass gatherings;;;Washington;outdoor gatherings banned;250;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Washington_(state)#Government_response;;;;
615;;United States;11/03/2020;31/03/2020;All schools closed;;;Oregon;school closure, university closure;;https://www.livescience.com/oregon-coronavirus-updates.html;;;;
654;;United States;11/03/2020;;regular deep cleaning of public transport announced ;;Seattle;Washington;hygiene enforcement, public hygiene, public transport cleaning;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Washington_(state)#Government_response;;;;
840;;Croatia;11/03/2020;;Archbishop of Zagreb Josip Bozanić supported the removal of holy water from church entrances and handshakes from the Mass, and recommended believers to receive the communion bread from priests into their own hands instead of directly into their mouth. He also recommended believers who had symptoms of respiratory system infection, had visited affected areas, had been in contact with a carrier of the virus, were elderly or suffered from chronic illnesses not to attend the Mass.;;;;public hygiene, religious activity limitations;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Croatia;;;;
280;;Hungary;11/03/2020;;Hungary declared a state of emergency in the entire country due to the coronavirus,;;;;public announcement, special management arrangements, state of emergency;;https://index.hu/english/2020/03/11/hungary_state_of_danger_coronavirus_special_legal_order/;;;;
273;;Hungary;11/03/2020;;The frequency of disinfection on Budapest public transport vehicles has increased, and the rule about using only the first door for boarding has been suspended, to decrease crowding;;Budapest;;public hygiene, public transport cleaning;;https://hirado.hu/belfold/belpolitika/cikk/2020/03/11/jarvanyvedelmi-lepeseket-vezet-be-budapest;;;;
193;;Spain;11/03/2020;26/03/2020;the Government of the Community of Madrid cancelled all in-person classes in the Autonomous community of Madrid at all educational levels for an initial period of 15 days;;;Madrid;school closure, university closure;;https://www.comunidad.madrid/noticias/2020/03/09/comunidad-madrid-aprueba-medidas-extraordinarias-coronavirus;;;;
612;;United States;11/03/2020;;Pulic health emergency;;;;public announcement, state of emergency;;;;;;
218;;Bosnia and Herzegovina;11/03/2020;30/03/2020;Serb region shut all schools and universities and banned public events from March 11 to March 30 to help stem the spread of the infection.;West Herzegovina Canton;;Republika Srpska;school closure, university closure;;https://www.reuters.com/article/us-health-coronavirus-bosnia/bosnias-serb-region-shuts-schools-bans-public-gatherings-over-coronavirus-idUSKBN20X2CA;;;;
589;;Romania;11/03/2020;;Interim Prime-minister Ludovic Orban announced the closure of all schools from 11 March. The measure targets all kindergartens, primary, secondary and high schools in Romania, both public and private.;;;;school closure;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Romania;;;;
;;South Korea;10/03/2020;;Ministry of Land, Infrastructure and Transport, Ministry of Science and ICT & Future Planning and KCDC co-developed source tracing data hub for COVID-19 in Korea for quick and accurate data analysis- will officially activate from 16 March. ;;;;epidemic data;;;;;;
423;;Slovenia;10/03/2020;;land border with Italy was closed for all but freight transport;freight transport;;;international travel ban - risk countries;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Slovenia;;Italy;;
663;;Hong Kong;10/03/2020;;"In view of the health risks arising from the outbreak of the COVID-19 in the Bourgogne-Franche-Comte and Grand Est regions in France, the North Rhine-Westphalia region in Germany, Hokkaido in Japan as well as the La Rioja, Madrid and Pais Vasco regions in Spain, the HK gov today (March 10) issued the Red Outbound Travel Alert (OTA) on the aforementioned regions. 
As well, the Government expanded the Red OTA currently in force on Emilia-Romagna, Lombardy and Veneto regions in Italy to cover the entire country.";;;;outbound travel warning;;https://www.info.gov.hk/gia/general/202003/10/P2020031000715.htm;;France, Germany, Italy, Japan, Spain;Bourgogne-Franche-Comte, Grand Est, Hokkaido, La Rioja, Madrid, North Rhine-Westphalia, Pais Vasco;
;;Brazil;10/03/2020;;Mechanical Turk data n=70;;;;public mask wearing data;18;Mechanical Turk Survey n=70;;;;
;;United States;10/03/2020;;most schools and universities shut;;;Massachussets;school closure;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Massachusetts;;;;
;;United States;10/03/2020;;governor Ned Lamont declared a civil preparedness and public health emergency in response to the coronavirus;;;Connecticut;state of emergency;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Connecticut;;;;
;;Slovakia;10/03/2020;;On 10 March, Slovakia suspended all sports events for two weeks, 17 days before the Republic of Ireland were due to play the country's football team in Bratislava in their UEFA Euro 2020 play-off.;;;;sports cancellation;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_Republic_of_Ireland;;;;
;;United States;10/03/2020;;Governor Cuomo announced a containment zone in the city of New Rochelle from March 12 to 25;;New Rochelle;New York;cluster isolation - no symptoms;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_New_York_(state)#Government_response;;;;
776;;Albania;10/03/2020;;Rama also announced an expansion of the areas from which arrivals must self-isolate, to newly include all of Italy as well as all of Greece, and ordered police to patrol the streets, detain any violators, and penalize them with a 5000 euro fine. The army and police mobilized to patrol the streets and search for any citizens with self-isolation orders who could be violating them;;;;international traveller quarantine - risk countries;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Albania;;;;
770;;Albania;10/03/2020;;On 10 March, all citizens were alerted of the new lockdown policy by text from Prime Minister Edi Rama, who said the policy was regrettable but necessary, with the text also telling them to be safe, wash their hands and avoid fake news, while also announcing a vehicle ban. Use of private cars and intercity transport vehicles was banned in Tirana and Durres, and all private and public transport was banned in Shkodra, Lezha, Elbasani, Lushnja, Fieri and Vlora, with the only vehicles allowed being ambulances and vehicles for delivering essentials;;;;domestic travel ban;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Albania;;;;
221;;Bosnia and Herzegovina;10/03/2020;;Authorities in the capital Sarajevo also banned public gatherings with more than 300 people until further notice and ordered the closure of medical schools and faculty.;;;;outdoor gatherings banned;300;https://www.reuters.com/article/us-health-coronavirus-bosnia/bosnias-serb-region-shuts-schools-bans-public-gatherings-over-coronavirus-idUSKBN20X2CA;;;;
168;;Austria;10/03/2020;;All outdoor events with more than 500 people and all indoor events with more than 100 people are canceled.;;;;indoor gatherings banned;100;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Austria;;;;
;;Austria;10/03/2020;;All outdoor events with more than 500 people and all indoor events with more than 100 people are canceled.;;;;outdoor gatherings banned;500;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Austria;;;;
588;;Russia;10/03/2020;10/04/2020;Moscow Mayor Sergei Sobyanin signed a decree for banning mass events in Moscow with more than 5,000 participants.;;Moscow;;outdoor gatherings banned;5000;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Russia#cite_note-auto-7;;;;
153;;Czechia;10/03/2020;;All mass events with more than 100 people were banned at the same time;;;;outdoor gatherings banned;100;;;;;
121;;Czechia;10/03/2020;;personal participation in teaching at primary, secondary, tertiary and tertiary professional schools was also prohibited;;;;school closure, university closure;;https://koronavirus.mzcr.cz/vyvoj-udalosti-v-case/;;;;
;;Singapore;10/03/2020;;All social activities for seniors organised by government agencies will be suspended for 14 days;;;;elderly, outdoor gatherings banned;10;;;;;
;;Mexico;10/03/2020;;The report says: “As of Tuesday night, the Mexican Health Ministry said it had performed 278 tests.”;;;;testing numbers total;278;https://ourworldindata.org/coronavirus-testing-source-data;;;;
;;Czechia;10/03/2020;;1% of citizens in public wearing masks;;;;public mask wearing data;1;Communication with Czech locals;;;;
;;Turkey;10/03/2020;;We provide number of tests as reported by Wikipedia, and could not confirm ourselves (link);;;;testing numbers total;2900;https://ourworldindata.org/coronavirus-testing-source-data;;;;
125;;Czechia;10/03/2020;;another extraordinary measure was issued, ordering all persons not subject to the extraordinary measure of 7 March 2020 on compulsory quarantine, after crossing the national border of the Czech Republic, to undergo control of symptoms of infectious diseases. At the same time, it directs all people who have been diagnosed with symptoms to provide the necessary assistance to healthcare professionals.;;;;international traveller screening - all countries;;https://koronavirus.mzcr.cz/vyvoj-udalosti-v-case/;;;;
354;;Vatican City;10/03/2020;;Italy lockdown measures are also applied to the Vatican City.;;Vatican City;;blanket isolation - no symptoms, religious activity limitations, social distancing;;https://www.theguardian.com/world/video/2020/mar/10/st-peters-square-before-and-after-italys-nationwide-lockdown-video;;;;
;;United States;10/03/2020;;Rutgers University, New Jersey Institute of Technology, Seton Hall, Stevens Institute of Technology, The College of New Jersey, and Monmouth University announced that all of their classes would be switched to an online format.;;;New Jersey;remote schooling;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_New_Jersey#Government_response;;;;
860;;Denmark;10/03/2020;;On 10 March, the authorities recommended that people that use public transportation should attempt to reduce their travel in peak hours, if possible people should walk or bicycle shorter distances instead, and anyone feeling sick in any way or suspecting that they might have COVID-19 should not use public transportation. In an attempt of increasing the space between people using public transportation, more busses and trains were added to the schedules, and there were stricter limits on the number of passengers allowed in each. From 12 March, all intercity train rides would be limited to people with seat reservations.;;;;public hygiene;;;;;;
233;;Bulgaria;10/03/2020;;Bulgarian biotechnology company Micar21 has been developing a general Coronavirus vaccine in the past four years, and announced that it will begin clinical trials of a SARS-CoV-2 vaccine based on this research in mid-2020.;;;;public announcement, research;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Bulgaria;;;;
773;;Albania;10/03/2020;;The disinfectation of all public places was also underway.;;;;public transport cleaning;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Albania;;;;
775;;Albania;10/03/2020;;Bars, restaurants, gyms, discos, and venues with live music were all ordered to close;;;;limited nonessential business suspension, restaurant limitations;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Albania;;;;
774;;Albania;10/03/2020;;The retired would get their pensions delivered at home with no charge.;;;;isolation allowance;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Albania;;;;
762;;Albania;10/03/2020;;On 10 March, President Ilir Meta called for retired Albanian doctors to re-enter the work force.;;;;retired doctors called;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Albania;;;;
771;;Albania;10/03/2020;;Bonuses of 1000 euros were added to the salaries of medical staff, and a 500 euro bonus was added to the salary of medical workers.;;;;financial incentive;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Albania;;;;
;"I'm not sure whether this is only ""recommended"" or commanded";Germany;10/03/2020;;the federal government's crisis team recommends that all major events with more than 1,000 expected participants be canceled;;;;outdoor gatherings banned;1000;https://www.bundesgesundheitsministerium.de/presse/pressemitteilungen/2020/1-quartal/krisenstab-bmg-bmi-sitzung-5.html;;;;
;;United States;10/03/2020;;state of emergency;;;North Carolina;public announcement, state of emergency;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_North_Carolina#Government_response;;;;
381;;United States;10/03/2020;;University of Florida: classes online for Spring semeter;;;Florida;remote schooling, university closure;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Florida#Government_response;;;;
127;;Czechia;10/03/2020;;the Security Council met. Subsequently, the Ministry of Health, based on an ongoing assessment of the situation, issued an extraordinary measure ordering, with effect from 10 March 2020, all providers of inpatient health services and social services facilities to ban visitors.;inpatient care, which is provided to minors, patients with limited legal capacity and parents. The ban on visits also does not apply to hospices, including services for terminally terminally ill patients.;;;social distancing, visiting in hospital banned;;https://koronavirus.mzcr.cz/vyvoj-udalosti-v-case/;;;;
650;;United States;10/03/2020;;drive-in testing at University of Washington;;;Washington;testing;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Washington_(state)#Government_response;;;;
414;;Moldova;10/03/2020;;All foreigners coming from the countries affected by coronavirus have been banned from entering Moldova by plane;;;;international travel ban - all countries;;https://www.reuters.com/article/us-health-coronavirus-moldova/moldova-bans-foreigners-on-all-flights-from-countries-with-coronavirus-idUSKBN20X0XX;;risk countries;;
;;Austria;10/03/2020;16/03/2020;On 10 March 2020 government announced that all universities will close their classes at the latest by 16 March.;;;;university closure;;;;;;
440;;Norway;10/03/2020;;By 10 March the number of confirmed cases in Norway had spiked to 400, and a rising number of those cases could not be traced to foreign travel or any known person infected, indicating community transmission had started in Norway;;;;case reporting, community spread;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Norway;;;;
169;people from Italy;Austria;10/03/2020;;Travel restrictions for people coming from Italy are established.;;;;international travel ban - risk countries;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Austria;;Italy;;
195;;Spain;10/03/2020;25/03/2020;the Government of Spain decreed the immediate cancellation of all direct flights from Italy to Spain until 25 March;;;;international travel ban - risk countries;;https://www.elespanol.com/invertia/empresas/20200310/espana-prohibe-vuelos-directos-italia-marzo/473703280_0.html;;Italy;;
366;;Jersey;10/03/2020;;On 10 March, the first case was confirmed. The infected was a person who had travelled from Italy.[1] A second case was confirmed on 11 March.;;;;case reporting, first case;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Jersey;;;;
315;;Greece;10/03/2020;24/03/2020;Starting on March 10, the educational institutions of all levels were closed for 14 days;;;;school closure, university closure;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Greece;;;;
353;;Ireland;10/03/2020;;Lectures from Trinity College Dublin were cancelled and delivered online.;;;;remote schooling;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_Republic_of_Ireland;;;;
362;;Ireland;10/03/2020;;Flights to and from some affected regions were suspended.[48];;;;international travel ban - risk countries;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_Republic_of_Ireland#cite_note-:3-2;;risk countries;;
222;;Bosnia and Herzegovina;10/03/2020;;Bosnia’s Football Association postponed ticket sales for the Euro 2020 qualifying playoff semi-final between Bosnia and Northern Ireland on March 26 due to the coronavirus outbreak.;;;;very large event cancellation or postponement;;https://www.reuters.com/article/us-health-coronavirus-bosnia/bosnias-serb-region-shuts-schools-bans-public-gatherings-over-coronavirus-idUSKBN20X2CA;;;;
194;;Spain;10/03/2020;;the Basque Government announced the same measure would be enforced in the municipality of Vitoria-Gasteiz;;Vitoria-Gasteiz;Basque Country;school closure, university closure;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Spain#cite_note-267;;;;
232;;Bulgaria;10/03/2020;;Sofia Municipality has increased disinfections to four times daily at public institutions and in public transport;;Sofia;;public hygiene, public transport cleaning;4;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Bulgaria;;;;
227;;Bulgaria;10/03/2020;;Two additional cases were confirmed in Sofia on 10 March 2020: a 74-year-old man and his 66-year-old wife. Both have arrived from Lom two weeks prior to admission.[9][10] The woman died on the next day, becoming the first COVID-19 victim in the country.[11];;;;case reporting;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Bulgaria;;;;
219;;Bosnia and Herzegovina;10/03/2020;;entry to travelers from countries most affected by the coronavirus outbreak;;;Bosnia;international travel ban - risk countries;;https://www.reuters.com/article/us-health-coronavirus-bosnia/bosnias-serb-region-shuts-schools-bans-public-gatherings-over-coronavirus-idUSKBN20X2CA;;;;
469;;Czechia;10/03/2020;;On Monday, March 9, 2020, the Security Council met. Subsequently, the Ministry of Health, based on an ongoing assessment of the situation, issued an extraordinary measure ordering, with effect from 10 March 2020, all providers of inpatient health services and social services facilities to ban visitors. The only exception is inpatient care, which is provided to minors, patients with limited legal capacity and parents. The ban on visits also does not apply to hospices, including services for terminally terminally ill patients.;"inpatient care, which is provided to minors, patients with limited legal capacity and parents ; hospices, including services for terminally terminally ill patients";;;visiting in hospital banned;;https://koronavirus.mzcr.cz/vyvoj-udalosti-v-case/;;;;
344;;Macedonia;10/03/2020;24/03/2020;temporary 2 week closure of all education institutes (from elementary schools to universities) that might be further extended;;;;school closure, university closure;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_North_Macedonia#cite_note-13;;;;
601;;Romania;10/03/2020;31/03/2020;All bus rides and rail transport to and from Italy were suspended from 10 March until 31 March.;;;;international travel ban - risk countries;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Romania;;Italy;;
131;;Czechia;10/03/2020;;Information leaflets about coronavirus in 4 languages began to be distributed and the temperature of passengers is measured. Distribution of leaflets was also ensured in train connections.;;;;public announcement;;https://koronavirus.mzcr.cz/vyvoj-udalosti-v-case/;;;;
170;;Austria;10/03/2020;;The government asked the general public to avoid social contacts and announced even further restrictions to be made soon.[11];;;;public announcement, social distancing;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Austria;;;;
;;South Korea;09/03/2020;;Released COVID-19 preventive strategy encourage all people to wear masks, thorough hand-sanitization and social distancing;;;;personal hygiene, social distancing;;https://www.cdc.go.kr/board/board.es?mid=a20501000000&bid=0015;;;;
422;;Slovenia;09/03/2020;;government restricted public gatherings in open spaces to events of 500 people or more;;;;outdoor gatherings banned;500;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Slovenia;;;;
421;;Slovenia;09/03/2020;;government restricted public gatherings in closed spaces to events of 100 people or more;;;;indoor gatherings banned;100;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Slovenia;;;;
;;Israel;09/03/2020;;Prime Minister Benjamin Netanyahu declared a mandatory quarantine for all people entering Israel, requiring all entrants to quarantine themselves for fourteen days upon entering the country.;;;;international traveller quarantine - risk countries;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Israel;;;;
;;United States;09/03/2020;;Governor Gina Raimondo declares a state of emergency;;;Rhode Island;public announcement, state of emergency;;;;;;
;;United States;09/03/2020;;Proclamation of Disaster Emergency signed by Governor;;;Iowa;state of emergency;;https://idph.iowa.gov/News/ArtMID/646/ArticleID/158298/Gov-Reynolds-signs-Disaster-Proclamation-Following-Additional-COVID-19-Cases-in-Iowa-3920;;;;
;;United States;09/03/2020;;Biogen tells attendees to prep for quarantine, isolate from loved ones;;;Massachussets;cohort isolation - no symptoms;;https://www.fiercepharma.com/pharma/case-count-from-management-meeting-rising-biogen-tells-attendees-to-prepare-for-quarantine;;;;
306;;Greece;09/03/2020;;all sports games were to be played with no fans attending;;;;social distancing, sports cancellation;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Greece;;;;
;;Singapore;09/03/2020;;Short-term visitors now have to pay for treatment. Treatment remains free for Singaporeans, PRs, and long-term pass holders. Testing remains free for everyone. ;;;;encouraging symptomatic people to seek tests;0;;;;;
;;Iraq;09/03/2020;;Iraqi authorities also announced the closure of Najaf Governorate.;;;Najaf Governorate;cluster isolation - no symptoms;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Iraq;;;;
;;United States;09/03/2020;;COVID19 test compulsory in for staf and visitorsf in nursing homes;;;Washington;test vulnerable;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Washington_(state)#Government_response;;;;
;;Nepal;09/03/2020;;The government expanded the suspension of visa-on-arrival service to include three additional countries — France, Germany and Spain.;;;;visa suspension;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Nepal;;France, Germany, Spain;;
752;;Italy;09/03/2020;03/04/2020;"On 9 March, the government announced that all sporting events in Italy would be cancelled until at least 3 April, but the ban does not include Italian clubs or national teams participating in international competitions. In the evening, Conte announced in a press conference that all measures previously applied only in the so-called ""red zones"" had been extended to the whole country, putting approximately 60 million people in lockdown. Conte later proceeded to officially sign the new executive decree.";;;;sports cancellation;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Italy;;;;
;;Germany;09/03/2020;;Minister Spahn appealed to everyone's personal responsibility to minimize the risk of infection - for example, travel less if possible, work from home or avoid public transport.;;;;social distancing advice;;https://www.bundesregierung.de/breg-de/themen/coronavirus/coronavirus-1725960;;;;
;note that it is not oficially cancelled by government, just recommended;Germany;09/03/2020;;Federal Minister of Health Jens Spahn encourages to consistently cancel large events with more than 1000 participants until further notice.;;;;outdoor gatherings banned;1000;https://www.bundesregierung.de/breg-de/themen/coronavirus/coronavirus-1725960;;;;
;;United States;09/03/2020;;workers who have reduced hours or temporary unemployment due to the outbreak are eligible for unemployment benefits;;;Washington;unemployment benefits extension;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Washington_(state)#Government_response;;;;
;;United States;09/03/2020;;"Governor Kemp announced the preparation of Hard Labor Creek State Park, located in Morgan County, as a quarantine destination for diagnosed individuals ""without other options""";;;Georgia;quarantine centre;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Georgia_(U.S._state)#Government_response;;;;
681;;Iran;09/03/2020;;Government temporarily release 70,000 prisoners from jail to combat spread;;;;prisoner release;;https://www.reuters.com/article/us-health-coronavirus-iran/iran-temporarily-releases-70000-prisoners-as-coronavirus-cases-surge-idUSKBN20W1E5;;;;
