ID;Applies To;Country;Date Start;Date end intended;Description of measure implemented;Exceptions;Implementing City/Municipality;Implementing State/Province;Keywords;Quantity;Source;Target city;Target country;Target region;Target state
;;Hong Kong;28/03/2020;;Kitchee announced on Saturday that all footballers of its first team will self-isolate and be tested for Covid-19, after the spouse of a staffer at the club tested positive for the coronavirus.;;;;contact isolation - no symptoms, voluntary isolation;;https://news.rthk.hk/rthk/en/component/k2/1517483-20200328.htm?;;;;
;;Hong Kong;28/03/2020;;Officers had been put under quarantine after they were classified as close contacts of a policewoman who was confirmed with the coronavirus infection recently. They have been sent to quarantine centres in Fo Tan and Lei Yue Mun.;;;;compulsory isolation, contact isolation - no symptoms, quarantine zone;;https://news.rthk.hk/rthk/en/component/k2/1517465-20200328.htm?;;;;
;;United States;28/03/2020;;"all in-state travel between communities, whether resident, worker, or visitor, is prohibited unless travel is to support critical infrastructure; or for critical personal needs";;;Alaska;domestic travel ban;2;https://gov.alaska.gov/newsroom/2020/03/27/governor-issues-covid-19-health-mandates-on-social-distancing-limiting-intrastate-travel-2/;;;;
;;United States;28/03/2020;;Gatherings in the state are further restricted, with any gathering of over five people banned;;;Rhode Island;indoor gatherings banned, outdoor gatherings banned;5;;;;;
;;United States;28/03/2020;;"Governor Raimondo enacts a ""stay at home"" order for all Rhode Islanders who are not travelling to purchase food, household supplies, medicine, or gasoline, or are going for a recreational walk alone";;;Rhode Island;blanket curfew - no symptoms;;;;;;
;;United States;28/03/2020;;Governor Cuomo announces that New York State's 2020 Democratic Primary, originally scheduled for April 28 will be postponed until June 23rd;;;New York;very large event cancellation or postponement;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_New_York_(state)#Government_response;;;;
;;Brazil;28/03/2020;;The health minister, Henrique Mandetta, changed this Saturday the tone again of his declarations on social isolation. On Wednesday, he had adjusted his speech to that of President Jair Bolsonaro, opposed to a more general isolation and favorable to the isolation only of chronic patients and the elderly and people aged 60 and over. Although it was not direct and explicit, on Saturday Mandetta was more emphatic in advocating that people who can stay at home. He justified his defense that people should stay at home so that the health system is not overburdened, increasing the lethality of Covid 19 due to lack of beds and ICU.;;;;stay home advice;;https://g1.globo.com/sp/sao-paulo/noticia/2020/03/28/jovem-de-26-anos-morre-com-coronavirus-em-sp-diz-hospital.ghtml;;;;
;;Spain;28/03/2020;;On 28 March, the prime minister ordered all non-essential workers to stay at home from 30 March to 9 April to bend the curve and contain the epidemic.;;;;general nonessential business suspension, remote work;;https://www.lavanguardia.com/politica/20200328/48136764563/gobierno-trabajadores-servicios-no-esenciales-30-de-marzo-9-de-abril-semana-santa-pedro-sanchez-coronavirus.html;;;;
;;United States;28/03/2020;;the CDC advised residents of the region not to travel except for essential purposes;;;Connecticut;domestic travel limitation;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Connecticut;;;;
;;United States;28/03/2020;;"Cuomo announced that the state would allow two patients to share one ventilator using a technique he called ""splitting"" where a second set of tubes would be added to the ventilator";;;New York;clinic specialisation;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_New_York_(state)#Government_response;;;;
;;Bosnia and Herzegovina;28/03/2020;;On 28 March 2020 the National Assembly declared the state of emergency in Republika Srpska.;;;Republika Srpska;emergency declaration;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Bosnia_and_Herzegovina;;;;
;;South Korea;28/03/2020;;Violation of Self-isolation: maximum 1 year imprisonment or 10 million won (= USD830) penalty;;;;compulsory isolation;;https://www.cdc.go.kr/board/board.es?mid=a20501000000&bid=0015&list_no=366673&act=view;;;;
;;South Korea;28/03/2020;;Arrival national passengers from Europe & US who do not have access to own car- govt will support designated airport limousine bus and bullet train compartment. ;;;;special management arrangements;;https://www.cdc.go.kr/board/board.es?mid=a20501000000&bid=0015&list_no=366673&act=view;;;;
